,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,74,74,,"
def find_floor(instructions):
    floor = 0
    for instruction in instructions:
        if instruction == '(':
            floor += 1
        elif instruction == ')':
            floor -= 1
    return floor

# Read the instructions from input.txt
with open('input.txt', 'r') as file:
    instructions = file.read().strip()

# Calculate the floor using the instructions
result = find_floor(instructions)

print(f""Santa will end up on floor {result}."")
",0.0
1,2015,1,2,no_error,1795,1795,,"
def find_basement_position(instructions):
    floor = 0
    position = 0
    for instruction in instructions:
        position += 1
        if instruction == '(':
            floor += 1
        elif instruction == ')':
            floor -= 1
        if floor == -1:
            return position

# Read the instructions from input.txt
with open('input.txt', 'r') as file:
    instructions = file.read().strip()

# Find the position of the first character that causes Santa to enter the basement
result = find_basement_position(instructions)

print(f""Santa enters the basement at position {result}."")
",0.0
4,2015,2,1,no_error,1586300,1586300,,"
present_dimensions = []
with open('input.txt', 'r') as file:
    for line in file:
        dimensions = line.strip().split('x')
        present_dimensions.append(dimensions)


total_wrapping_paper = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    surface_area = 2*l*w + 2*w*h + 2*h*l
    slack_area = min(l*w, w*h, h*l)
    total_wrapping_paper += surface_area + slack_area


print(total_wrapping_paper)


present_dimensions = []
with open('input.txt', 'r') as file:
    for line in file:
        dimensions = line.strip().split('x')
        present_dimensions.append(dimensions)

total_wrapping_paper = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    surface_area = 2*l*w + 2*w*h + 2*h*l
    slack_area = min(l*w, w*h, h*l)
    total_wrapping_paper += surface_area + slack_area

print(total_wrapping_paper)
",0.0
5,2015,2,2,no_error,3737498,3737498,,"
present_dimensions = []
with open('input.txt', 'r') as file:
    for line in file:
        dimensions = line.strip().split('x')
        present_dimensions.append(dimensions)


total_ribbon = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    sorted_dimensions = sorted([l, w, h])
    smallest_perimeter = 2 * (sorted_dimensions[0] + sorted_dimensions[1])
    total_ribbon += smallest_perimeter


total_bow_ribbon = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    volume = l * w * h
    total_bow_ribbon += volume


total_feet_of_ribbon = total_ribbon + total_bow_ribbon
print(total_feet_of_ribbon)


present_dimensions = []
with open('input.txt', 'r') as file:
    for line in file:
        dimensions = line.strip().split('x')
        present_dimensions.append(dimensions)

total_ribbon = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    sorted_dimensions = sorted([l, w, h])
    smallest_perimeter = 2 * (sorted_dimensions[0] + sorted_dimensions[1])
    total_ribbon += smallest_perimeter

total_bow_ribbon = 0
for dimensions in present_dimensions:
    l, w, h = map(int, dimensions)
    volume = l * w * h
    total_bow_ribbon += volume

total_feet_of_ribbon = total_ribbon + total_bow_ribbon
print(total_feet_of_ribbon)
",0.0
7,2015,3,1,no_error,"2565
",2565,,"
# Read the input from the file
with open('input.txt', 'r') as file:
    moves = file.read().strip()

# Set to store the visited houses
visited_houses = set()

# Santa's starting location
x, y = 0, 0

# Deliver a present to the starting house
visited_houses.add((x, y))

# Simulate Santa's movements
for move in moves:
    if move == '^':
        y += 1
    elif move == 'v':
        y -= 1
    elif move == '>':
        x += 1
    elif move == '<':
        x -= 1

    # Deliver a present to the current house
    visited_houses.add((x, y))

# Print the number of unique houses visited
print(len(visited_houses))
",0.0
8,2015,3,2,no_error,"2639
",2639,,"
# Read the input from the file
with open('input.txt', 'r') as file:
    moves = file.read().strip()

# Set to store the visited houses
visited_houses = set()

# Santa's and Robo-Santa's starting location
santa_x, santa_y = 0, 0
robo_x, robo_y = 0, 0

# Deliver a present to the starting house
visited_houses.add((santa_x, santa_y))

# Simulate Santa's and Robo-Santa's movements
for i, move in enumerate(moves):
    if i % 2 == 0:
        # Santa's turn
        if move == '^':
            santa_y += 1
        elif move == 'v':
            santa_y -= 1
        elif move == '>':
            santa_x += 1
        elif move == '<':
            santa_x -= 1

        # Deliver a present to Santa's current house
        visited_houses.add((santa_x, santa_y))
    else:
        # Robo-Santa's turn
        if move == '^':
            robo_y += 1
        elif move == 'v':
            robo_y -= 1
        elif move == '>':
            robo_x += 1
        elif move == '<':
            robo_x -= 1

        # Deliver a present to Robo-Santa's current house
        visited_houses.add((robo_x, robo_y))

# Print the number of unique houses visited
print(len(visited_houses))
",0.0
11,2015,4,1,no_error,117946,117946,,"
import hashlib


with open('input.txt', 'r') as f:
    secret_key = f.readline().strip()


def calculate_md5(string):
    md5 = hashlib.md5()
    md5.update(string.encode('utf-8'))
    return md5.hexdigest()


number = 1
while True:
    hash_string = secret_key + str(number)
    hash_value = calculate_md5(hash_string)
    if hash_value.startswith('00000'):
        break
    number += 1


print(number)


import hashlib

with open('input.txt', 'r') as f:
    secret_key = f.readline().strip()

def calculate_md5(string):
    md5 = hashlib.md5()
    md5.update(string.encode('utf-8'))
    return md5.hexdigest()

number = 1
while True:
    hash_string = secret_key + str(number)
    hash_value = calculate_md5(hash_string)
    if hash_value.startswith('00000'):
        break
    number += 1

print(number)
",0.0
12,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib

with open('input.txt', 'r') as f:
    secret_key = f.readline().strip()

def calculate_md5(string):
    md5 = hashlib.md5()
    md5.update(string.encode('utf-8'))
    return md5.hexdigest()

number = 1
while True:
    hash_string = secret_key + str(number)
    hash_value = calculate_md5(hash_string)
    if hash_value.startswith('000000'):
        break
    number += 1

print(number)
",0.0
15,2015,5,1,no_error,"236
",236,,"
def is_nice_string(string):
    vowels = 'aeiou'
    disallowed_substrings = ['ab', 'cd', 'pq', 'xy']
    
    vowel_count = sum(1 for char in string if char in vowels)
    
    has_double_letter = any(string[i] == string[i+1] for i in range(len(string)-1))
    
    has_disallowed_substring = any(substring in string for substring in disallowed_substrings)
    
    return vowel_count >= 3 and has_double_letter and not has_disallowed_substring

def count_nice_strings(filename):
    count = 0
    with open(filename, 'r') as file:
        for line in file:
            if is_nice_string(line.strip()):
                count += 1
    return count

nice_strings_count = count_nice_strings('input.txt')
print(nice_strings_count)
",0.0
16,2015,5,2,no_error,"51
",51,,"
def is_nice_string(string):
    has_pair = False
    has_repeat_with_one_between = False
    
    for i in range(len(string)-1):
        pair = string[i:i+2]
        if pair in string[i+2:]:
            has_pair = True
            break
    
    for i in range(len(string)-2):
        if string[i] == string[i+2]:
            has_repeat_with_one_between = True
            break
    
    return has_pair and has_repeat_with_one_between

def count_nice_strings(filename):
    count = 0
    with open(filename, 'r') as file:
        for line in file:
            if is_nice_string(line.strip()):
                count += 1
    return count

nice_strings_count = count_nice_strings('input.txt')
print(nice_strings_count)
",0.0
